name	active	alias_1	alias_10	alias_2	alias_3	alias_4	alias_5	alias_6	alias_7	alias_8	alias_9	internal_notes	latest_delinquency_data	latest_financial_data	latest_lease_data	latest_marketing_data	latest_unit_status_data	staff_only
Madera Point	True	1614																False
Madison Place	True	1652																False
Mandarin Reserve	False	1558										inactive 6/6 - Name changed from Victoria Park to Mandarin Reserve						False
Mandarina	False	1741																True
Maple Springs	True	1694											${TODAY}			${TODAY}		False
Meridian	False	1523										Deactivated 5/11/16						False
Midtown on Main	True	1586																False
Miramar	False	1569										Deactivated 4/5/17						False
North Slope	False	1506										inactive - 3/23/16						False
Northgate Oaks	True	1618																False
Northwood Village	True	1154													${TODAY}			False
Oaks at Greenview, The	True	1535											${TODAY}	${TODAY}		${TODAY}	${TODAY}	False
Oaks of Woodland Park, The	True	1446																False
Oakwood Village	True	1095													${TODAY}			False
Oasis at Bayside	False	1454										Deactivated 9/20/16						False
Old Farm	True	1718																False
Olivia Place	False	1747																True
Osprey Pointe	True	1028													${TODAY}			False
Paces River I & II	True	1438																False
Paddock Place	True	1439																False
Palm Canyon	True	1578																False
Palms on Westheimer	False	1476										inactive - 7/24						False
Parc500	True	1676		cityview	1665							Name change - City View to Parck500 - 2/28/2017, Parck500 to Parc500 3/3/17	${TODAY}					False
Park at Abernathy Square	True	1631																False
Park at Blanding	False	1561										removed 2/2/2017						False
Park at Hurstbourne	True	1724																False
Park at Johns Creek	True	1554											${TODAY}			${TODAY}		False
Park at Kennesaw	True	1434																False
Park at Peachtree Corners	True	1469															${TODAY}	False
Park at Regency	False	1560										inactive - 6/6						False
Park at Stone Creek	False	1477										inactive - 3/23/16						False
Park at Towne Lake	True	1555											${TODAY}			${TODAY}		False
Park at the Marketplace	True	1683																False
Parks at Walnut, The	False	1183										Deactivated 12/1/16						False
Pavilions at Arrowhead	False	1742																True
Pavilions at Deer Chase	True	1542											${TODAY}			${TODAY}		False
Pavilions at Pebble View	False	1465										deactivated 7/12						False
Pavilions at Vantage Point	False	1464										deactivated 7/12						False
Peanut Factory	True	1700											${TODAY}					False
Pembrook Club	True	1404																False
Perry Place	True	1714											${TODAY}					False
Place at Greenway	True	1475																False
Plantation Oaks	False	1018										Removed 4/28/17						False
Pointe at the Foothills	True	1615																False
Porterwood	True	1174													${TODAY}			False
Portofino Senior Apartments	False	Portofino Senior Apartments																True
Prairie Lakes	True	1703																False
Prentiss Creek	True	1370																False
Preserve at Dunwoody	False	1457										deactivated on 5/2						False
Promenade Summer Trace	True	1440										Named changed from Summer Trace to Promenade at Summer Trace						False
Promenade at Aloma	True	1611										Changed spelling of Alloma to Aloma						False
Promenade at Belleair	True	1514		.belleai	1363								${TODAY}				${TODAY}	False
Promenade at Edgewater	True	1453															${TODAY}	False
Promenade at Mayport	True	1437																False
Promenade at Ocala	True	1682																False
Promenade at Uptown	True	1668		.uptown	uptown	1392						"Merged with new property codes. Name changed from ""Promenade at Uptown - Historical"""						False
Promenade at Uptown (old)	False	0																False
Promenade at Valley Creek	True	1592		.valley	1405													False
Promenade at Valley Ridge	True	.valleyr		1488	1406													False
Quail Hollow	False	1507										inactive - 3/23/16						False
Radbourne Lake	True	1576																False
Regatta Bay	True	1537											${TODAY}				${TODAY}	False
Remington	False	1274										Deactivated 12/1/16						False
Remington Ranch	False	1328										Deactivated 10/17/16						False
Republic Deer Creek	True	1435																False
Republic Woodlake	True	1395																False
Reserve South	True	1636										Name change - [Newport Manor] - [Reserve South] 6/6/16						False
Reserve at Hoffman Estates	True	1617																False
Residence of North Dallas	False	1418										Inactive - sold						False
Residences at CityCenter	True	1609										Update Centre to Center 11/4						False
Retreat at the Park	False	45311		1540								Deactivated 5/11/16						False
Riatta Ranch	True	1089																False
Ridge, The	True	1420																False
Ridgecrest	False	45317		1497								Deactivated 2/25/16-Sold						False
River Oaks	True	1393																False
River Ranch	False	1014										inactive 9/17						False
River Vista	True	1667										Aspen Station to River Vista						False
Rock Creek	True	1721											${TODAY}					False
Rockledge	False	1752																True
Runaway Bay	False	1508										inactive 3/23/16						False
Rundberg West	True	1637																False
Sabal Palm at Lake Buena Vista	True	1577										Named changed from Sabal Palm to Sabal Palm at Lake Buena Vista						False
San Merano at Mirasol	True	1731																False
Sandpiper	True	1729																False
Seasons 704 Apartment Homes	True	1602										name change from Bayberry to Seasons 704 Apartment Homes						False
Seasons on Chelsea	False	1493										inactive - 3/23/16						False
Serena Vista	True	1650		1634	.serena													False
Settler's Gate	False	45334		1479	1302	.settler						Removed 9/2						False
Sevilla	False	1743																True
Seville	True	1661																False
Sierra Park	False	1544										"inactive 7/9 - Rename from ""Honey Creek"""						False
Siesta Lago Condominiums	True	1253										Named changed from  Siesta Lago Condominium to Siesta Lago Condominiums						False
Silverbrook	True	1524											${TODAY}				${TODAY}	False
Solara at Mill Avenue	True	1674																False
Somerset at the Crossing	True	1736										Activated 5/8/2017						False
South College Gardens	True	1373																False
South Point	False	1619										"inactive - received new property code ""1626"""						False
Southpoint Reserve at Stoney Creek	True	1587										renamed Southpoint Reserve at Stoney Creek from Steeplechase						False
St. Charles Place	True	1176													${TODAY}			False
Stewart's Landing	True	1096													${TODAY}			False
Stone Creek at Old Farm	True	1719																False
Stone Crossing	False	1748																True
Stone Hollow	True	1171													${TODAY}			False
Stonecastle	True	1704											${TODAY}					False
Stonecrossing East of Westchase	True	1461										Updated from The Pathway to Stonecrossing East of Westchase on 12/12/16					${TODAY}	False
Stonecrossing of Westchase	True	1445																False
Stonehaven Villas	True	1275													${TODAY}			False
Stoneleigh on Kenswick	True	1468															${TODAY}	False
Studio at 710	True	1710																False
Summit @ 860	False	1621										aka Overlook Estates, Changed name from Summit at 860 to Summit @ 860; deactivated 4/21/2017						False
Summit at Sabal Park, The	True	1563											${TODAY}			${TODAY}		False
Sundance	True	1684		sundance									${TODAY}			${TODAY}		False
TAVA Waters	True	1692										Changed from The Breakers to TAVA Waters on 3/15/17	${TODAY}					False
Terrace Garden	False	1286										Deactivated as of 4/28/17						False
Terrace at Butler	False	1419										Deactivated 4/28/2017						False
Terraces at Perkins Rowe	True	1531											${TODAY}				${TODAY}	False
Terraces at Perkins Rowe II	False	1605										Inactive - 3/28/16						False
The Ashlar	True	1598																False
The Bricks at Perimeter Center	True	1635										Name changed from Bricks at Perimeter Center to The Bricks at Perimeter Center						False
The Canopy	True	1677																False
The Carlyle	True	1740										Activated 5/24/2017	${TODAY}			${TODAY}		False
The Colonnade	True	1687																False
The Cottages of Savannah	False	1594										inactive 5/26						False
The Crossings at Bramblewood	True	1415										Name changed from Bramblewood s/b The Crossings at Brambelwood						False
The Flats WDM	True	1660											${TODAY}			${TODAY}		False
The Gregory North	True	1639		eagle	1663							name changed to Eagle Landing from 1639					${TODAY}	False
The Gregory South	True	watercr		1640	1664							name changed to The Gregory South from Watercrest					${TODAY}	False
The Landings	False	1630										Deactivated 9/20/16						False
The Meadows	False	1739																True
The Meritage	True	1717																False
The Piedmont at Ivy Meadow	True	1647										Name changed from 1647 Piedmont at Ivy Meadow to The Piedmont at Ivy Meadow						False
The Pines	True	1699																False
The Preserve at Osprey Lake	True	1733																False
The Preserve at Terrell Mill	True	1593										"first financials on Feb17, was ""Barrington Mills"" then was ""Preserve at Terrell Mill"" back to BM"						False
The Residences of Westover Hills	True	1608										Name changed from The Residences of Westover Hill to The Residences of Westover Hills						False
The Retreat at Acadian Point	True	1626										Changed name from South Point Lafayette to The Retreat at Acadian Point						False
Tidal Bluffs	True	1735										Activated 4/28/2017						False
Tiger Manor	True	1376																False
Tiger Manor II	True	1375																False
Timber Creek	True	1567										"Renamed from ""Beacon Timber Creek"""						False
Timber Oaks	True	1585										Expect first financials on Feb 17						False
Timber Ridge	True	1078													${TODAY}			False
Timberglen	True	1525											${TODAY}				${TODAY}	False
Timberlinks at Denton	False	1499										Inactive - sold						False
Toscana	False	1238										Deactivated 4/13/16						False
Toscana Dallas	False	1526										Deactivated 4/5/17						False
Towne Oaks South	True	1024													${TODAY}			False
Tree House	True	1455															${TODAY}	False
Trestles, The	True	1136													${TODAY}			False
Triple Crown at Tates Creek	True	1656															${TODAY}	False
Tuckahoe Creek	True	1400																False
Tuscany Palms	False	1754																True
Twelve 6 Ten At The Park	False	1590										name changed from McMillan Place to Twelve 6 Ten At The Park, property removed 4/27/2017						False
Twenty5 Pelham	False	1511										renamed The Vintage to Twenty5 Pelham, inactive - 3/23/16						False
University Edge	False	1588										Removed 2.2.16						False
Valley Oaks	False	1206										Deactivated 2/25/16-Sold						False
Venue at 8651	True	1623										"Changed name from ""Place at Vanderbilt"" 10/10/16"						False
Veranda Estates	False	1528										bh no longer managed as of 5/19						False
Veranda Knolls	False	1527										bh no longer managed as of 5/19						False
Versailles	True	1600																False
Vicino On The Lake	True	1697																False
Views of Naperville, The	True	1487																False
Views on Longcreek I, The	False	1512										inactive - 3/23/16						False
Views on Longcreek II, The	False	1513										inactive - 3/23/16						False
Views on Pelham, The	False	1510										inactive - 3/23/16						False
Villa Espada	True	1654																False
Village Green	False	1738																True
Villages at Louetta	True	1402																False
Villas on Briarcliff	False	1519										Removed 2.2.16						False
Vinings Palisades	True	1417																False
Wakonda	True	1448																False
Walnut Bend - Dallas	False	1182										Deactivated 12/1/16						False
Walnut Lake	True	1698																False
West End at City Center	True	1734										Activated 4/28/2017						False
West M	True	1681																False
West Winds	False	1509										inactive - 3/23/16						False
Weston Park	True	1252													${TODAY}			False
Westpointe	True	1184													${TODAY}			False
Westport on the River	False	1178										Removed 3/13/2017 - No longer managed by BH						False
Whispering Lake	True	1603																False
Whisperwood	False	1620										Removed 2.2.16						False
Willeo Creek	True	1424																False
Willow Gardens	True	1374																False
Willow Grove	True	1550											${TODAY}			${TODAY}		False
Willow Lake	True	1671										Reactivated 6/30  - not broken into two codes anymore						False
Willow Lake I	False	1678										Deactivated 6/30/16						False
Willow Lake II	False	1679										Deactivated 6/30/16						False
Willowdale Crossing	False	1543										Deactivated 9/20/16						False
Windscape of Naperville	True	1701		windscp										${TODAY}				False
Wood Trail - Bryan	True	1088													${TODAY}			False
Wood Trail - Tyler	True	1075													${TODAY}			False
Woodbridge	True	1551											${TODAY}			${TODAY}		False
Woodcrest Village	True	1625		1723								name change from Hampton Woods						False
Woodhill	False	45314		1496								Deactivated 2/25/16-Sold						False
Woodhollow	True	1033													${TODAY}			False
Woodlands of Crest Hill, The	False	1486										Deactivated 2/25/16- Sold						False
alexpt	False	alexpt-merged																False
com122	False	com122																False
com231	False	com231																False
com301	False	com301																False
i17	False	i17																True
ms	False	ms																True
