Property PK	Property Name	Operator GL PK	Operator Account Code	Operator Account Name	Primary GL PK	Primary Account Code	Primary Account Name	Month	Actual
1833	Oaks at Greenview, The	11101		Total Nonrec Capital Exp-Mech/Elect/Plumb	11101		Total Nonrec Capital Exp-Mech/Elect/Plumb	2017-06-01	0.00
1833	Oaks at Greenview, The	11101		Total Nonrec Capital Exp-Mech/Elect/Plumb	11101		Total Nonrec Capital Exp-Mech/Elect/Plumb	2017-07-01	
1833	Oaks at Greenview, The	11103	1657-02	Interior Upgrades - Office	11103	1657-02	Interior Upgrades - Office	2017-05-01	0.00
1833	Oaks at Greenview, The	11103	1657-02	Interior Upgrades - Office	11103	1657-02	Interior Upgrades - Office	2017-06-01	0.00
1833	Oaks at Greenview, The	11103	1657-02	Interior Upgrades - Office	11103	1657-02	Interior Upgrades - Office	2017-07-01	
1833	Oaks at Greenview, The	11104	1657-03	Furnishings - Office	11104	1657-03	Furnishings - Office	2017-05-01	0.00
1833	Oaks at Greenview, The	11104	1657-03	Furnishings - Office	11104	1657-03	Furnishings - Office	2017-06-01	0.00
1833	Oaks at Greenview, The	11104	1657-03	Furnishings - Office	11104	1657-03	Furnishings - Office	2017-07-01	
1833	Oaks at Greenview, The	11106	1657-04	Equipment - Office	11106	1657-04	Equipment - Office	2017-05-01	0.00
1833	Oaks at Greenview, The	11106	1657-04	Equipment - Office	11106	1657-04	Equipment - Office	2017-06-01	0.00
1833	Oaks at Greenview, The	11106	1657-04	Equipment - Office	11106	1657-04	Equipment - Office	2017-07-01	
1833	Oaks at Greenview, The	11177	1659-07	Equipment - Misc	11177	1659-07	Equipment - Misc	2017-05-01	0.00
1833	Oaks at Greenview, The	11177	1659-07	Equipment - Misc	11177	1659-07	Equipment - Misc	2017-06-01	0.00
1833	Oaks at Greenview, The	11177	1659-07	Equipment - Misc	11177	1659-07	Equipment - Misc	2017-07-01	
1833	Oaks at Greenview, The	11178	1659-11	Mold Compliance - Misc	11178	1659-11	Mold Compliance - Misc	2017-05-01	0.00
1833	Oaks at Greenview, The	11178	1659-11	Mold Compliance - Misc	11178	1659-11	Mold Compliance - Misc	2017-06-01	0.00
1833	Oaks at Greenview, The	11178	1659-11	Mold Compliance - Misc	11178	1659-11	Mold Compliance - Misc	2017-07-01	
